pH,EC  (dS/m),OC (%),P   (kg/ha),K (kg/ha),Ca (meq/100g),Mg (meq/100g),S (ppm),Fe (ppm),Mn (ppm),Cu (ppm),Zn (ppm),B (ppm)
8.27,0.16,0.36,8.58,396,,4,1.9,1.18,1.4,1,0.75,0.37
8.54,0.12,0.36,10.34,506.4,,25.8,14.6,4.16,3.25,1.28,0.27,0.73
9.01,0.15,0.36,4.91,396,40,7.3,11.09,7.01,2.09,1.79,0.43,0.73
8.47,0.18,0.48,7.88,771.6,53,5,15.35,4.81,1.27,2.57,1.76,0.81
8.61,0.24,1.05,14.89,766.2,24,4,19.62,1.99,8.52,4.41,3.56,0.93
7.67,0.04,0.93,26.1,450.29,3.2,1.6,9.93,37.94,10.6,1.46,0.64,1.17
8.2,0.23,0.84,26.8,219.06,5.3,3,27.32,19.4,3.47,2.44,0.5,0.32
5.36,0.06,0.78,19.8,316.42,1.5,0.8,19.04,41.24,22.12,6.28,0.49,0.67
5.04,0.05,0.27,4.91,97.36,0.9,0.7,8.28,13.26,13.39,7.07,0.64,0.51
4.93,0.06,0.78,27.15,304.25,2.1,1.4,17.38,39.19,24.58,1.24,0.13,0.45
8.2,0.59,0.87,8.75,346.2,15.8,8.5,4.73,0.99,6.8,2,1.78,0.05
8.54,0.07,0.36,19.38,217.8,6.8,5.8,48.11,1.84,7.29,1.82,1.31,0.15
9.41,0.42,0.21,8.75,718.2,33.5,14.3,11.04,3.7,16.56,2.09,1.48,0.63
6.06,0.11,0.27,13.84,266.64,5.9,2.3,14.5,40.21,24.58,3.54,0.66,0.95
6.03,0.09,0.78,4.38,206.04,5.8,1.4,3.41,,,,,
7,0.12,0.45,14.01,654.48,11.7,4.3,24.74,81.94,20.24,4.19,1.82,0.55
7.77,0.06,1.08,27.5,221.76,5.3,2.3,10.76,0.6,5.14,1.28,0.43,0.6
8.16,0.25,1.05,21.9,147.84,6.5,6,30.63,9.18,8.47,1.56,2.04,0.99
6.99,0.04,0.09,39.77,320.32,4,3.7,8.28,3.51,4.76,0.39,0.42,0.85
7.07,0.17,0.39,40.12,121.7,4,2,19.87,14.06,10.23,0.51,1.89,0.49
9.29,0.27,0.51,14.89,146.04,6,5.3,19.87,4.24,5.54,0.2,1.43,1.34
9.39,0.75,0.6,5.78,219.06,11.3,2,16.56,57.59,17.27,0.92,1.34,0.73
5.18,0.07,1.34,10.16,72.78,1.6,2.3,12.42,90.04,59.58,2.48,0.44,0.81
5.18,0.07,1.34,10.16,72.78,1.6,2.3,12.42,90.04,59.58,2.48,0.44,0.81
5.18,0.07,1.58,24.7,109.17,2,0.8,12.42,0.71,9.61,3.94,1.47,0.64
6.37,0.1,0.69,5.31,345.6,6.8,2.5,17.35,27,65.14,2.2,0.59,0.43
9.08,0.26,0.48,9.69,376.92,37,9.5,30.76,4.29,4.71,1.32,0.8,0.84
8.9,0.17,0.42,33.45,115.8,13.5,8.3,18.14,13.11,3.05,2.14,0.69,0.77
8.42,0.2,0.27,77.08,283.36,5.36,4.54,28.12,4.2,5.35,0.59,0.95,0.6
8.85,0.13,0.98,67.44,172.48,24.6,5.17,7.45,2.1,5.39,0.86,0.32,0.73
5.96,0.13,0.21,14.72,209.44,6.6,3.52,29.8,157.45,50.18,4.34,1.52,1.01
6.08,0.14,0.19,43.45,271.04,13.23,4.6,13.24,125.11,40.71,2.52,2.12,0.89
5.6,0.09,0.69,22.42,197.12,5.81,1.63,7.45,41.17,48.71,2.47,2.65,0.97
6.36,0.12,0.75,17.34,221.76,8.16,2.13,17.38,10.06,11.27,1.65,1.06,0.83
5.22,0.05,0.67,10.51,160.16,3.19,1.71,6.62,44.73,44.72,5.48,2.93,0.97
6.56,0.26,0.44,55.01,219.06,3.3,2.9,22.41,14.23,10.56,1.11,1.52,0.92
7.17,0.4,1.16,39.42,328.59,9.3,3.3,13.79,5.86,47.3,1.46,1.1,0.51
6.77,0.6,0.22,26.8,316.42,6.5,2.9,43.1,2.08,28.91,1.98,0.69,0.3
6.68,0.08,1.29,4.38,331.2,19.5,3,7.68,31.67,22.84,6.16,0.42,0.67
6.95,0.08,0.84,11.39,83.16,28.25,6.25,11.94,45.31,24.38,10.01,1.58,0.6
8.4,0.19,0.42,5.78,748.2,62.75,7.75,11.94,18.56,15.04,2.45,1.42,0.43
6.68,0.26,1.2,2.98,236.4,25.5,2.75,11.94,38.95,22.12,7.6,0.39,0.82
6.31,0.12,0.9,5.61,200.4,13.75,7,17.91,29.44,27.23,8.29,0.71,1.02
6.71,0.28,1.095,13.31,300,4.4,3.2,6.9,18.3,21.44,2.51,1.54,0.36
5.09,0.05,1.152,16.64,204,1.8,1,6.9,57.32,76.3,1.63,0.64,0.51
8.69,0.31,1.362,9.46,264,17.1,7,17.24,8.2,13.45,1.07,0.29,0.43
7.06,0.49,0.78,48.35,480.09,22.1,7.1,12,5.22,20.06,1.91,0.44,0.42
7.8,0.48,0.6,21.9,344.68,20,11.2,15.75,1.69,12.82,10.38,0.73,0.23
7.08,0.14,0.42,36.26,246.2,3.5,3.8,24.33,4.79,5.97,0.75,0.65,0.83
5.78,0.07,0.77,78.83,147.84,5.04,2.06,20.02,19.44,56.1,2.14,0.74,0.56
8.48,0.18,0.12,5.31,106.44,74.5,11.25,3.94,15.45,4.11,2.39,0.62,0.55
7.98,0.54,0.48,5.94,111.84,41.75,15.25,14.2,10.27,10.01,1.93,1.29,0.53
7.61,1.31,1.17,14.69,804,60.5,19.25,24.45,12.75,4.01,6.37,0.61,0.42
8.54,0.25,0.54,5.63,590.4,41,23.75,9.47,13.7,5.63,1.77,1.97,0.3
5.31,0.02,0.35,2.45,714.56,2.3,1.9,28.97,0.31,13.07,0.94,0.61,0.58
5.04,0.07,0.24,37.14,98.56,2.13,0.74,24.83,0.17,7.6,1.48,0.54,0.38
4.73,0.05,0.71,55.36,98.56,3.89,1.01,8.28,19.58,18.75,0.44,0.68,0.09
6.2,0.11,0.75,55.36,271.04,4.95,2.5,9.93,2.55,25.8,1.96,0.51,0.5
7.97,0.4,0.94,27.15,381.92,6.31,1.9,41.39,0.91,9.2,0.9,0.76,0.46
8.53,0.19,0.42,8.75,450,20.5,11.8,20.51,3.07,2.29,1.47,1.48,0.43
8.09,0.17,0.51,36.26,470.4,7.8,4.3,24.45,2.22,2.34,1.24,1.23,0.6
8.46,0.25,0.63,15,586.8,43.5,3,18.14,3.2,3.51,1.97,0.64,0.68
8.55,1.17,0.96,6.25,777,26.3,16.8,30.76,5.14,5.28,2.92,1.02,0.77
6.93,0.09,0.63,30.95,334.8,8.5,2.8,9.47,10.47,10.1,1.38,0.67,0.48
6.94,0.2,0.88,63.94,295.68,10.16,4.21,14.07,40.54,24.8,2.7,1.24,0.7
7.7,0.25,1.21,63.06,751.52,8.27,3.36,21.52,6.81,15.23,3.28,2.79,0.94
7.95,0.5,0.4,61.49,406.56,7.73,5.18,22.35,18.74,25.87,0.37,1.06,1.06
6.85,0.11,0.64,32.76,109.53,5.9,3.1,26.49,10.32,21.49,2.6,1.67,0.97
6.29,0.06,0.21,56.06,158.21,4.2,1.5,11.59,26.45,17.8,1.19,1.03,0.73
7.49,0.11,0.61,37.49,133.87,4,1.2,21.52,7.75,15.7,0.72,1.64,0.89
5.35,0.04,1,19.97,36.51,1.5,0.7,14.07,40.68,34.02,1.32,0.53,1.21
6.16,0.1,0.98,27.86,462.46,6.7,3.3,24,120.77,26.55,0.59,1.2,0.16
4.98,0.18,0.77,20.15,133.87,3.5,0.8,18.21,61.7,16.28,0.94,0.6,0.77
6.08,0.26,1.02,22.6,438.12,10.7,2,11.59,55.84,52.61,0.43,0.96,0.45
4.92,0.1,0.18,10.34,182.55,5.1,2.7,7.45,30.02,4.1,4.05,1.94,1.21
5.76,0.04,0.33,21.72,133.87,2.5,1.5,13.24,42.02,12.85,2.17,1.06,1.01
5.77,0.07,1.14,37.67,206.89,7.3,2.5,16.56,19.74,36.62,2.32,0.77,1.17
6.72,0.09,1.05,26.1,444,6.14,2.32,11.21,3.08,14.1,2.23,0.84,1.22
6.04,0.17,0.33,81.99,372,5.98,0.5,12.93,47.74,37.63,3.28,6.79,1.13
5.35,0.07,0.87,80.59,132,3.15,2.49,5.17,14.96,44.53,1.22,1.21,0.98
8.28,0.45,0.6,10,509.4,42.5,9,9.47,12.86,19.41,2.95,0.93,0.15
7.78,0.46,0.87,58.45,392.4,8.5,3,4.73,3.86,14.5,1.2,2.49,0.38
5.1,0.06,0.48,75.65,152.4,4,3,21.3,45.51,16.92,1.23,0.55,0.6
7.82,0.07,0.42,25.63,545.4,12.5,6.3,23.66,4.39,7.51,2.47,2.27,0.75
6.38,0.03,0.48,33.81,221.76,3.4,1.9,11.59,6.38,10.62,1.77,0.99,0.27
8.6,0.13,0.57,13.14,308,16.6,5.1,17.38,19.25,2.49,1.16,0.11,0.19
8.58,0.04,0.69,38.19,234.08,6.6,5.2,34.1,14.08,3.56,1.56,0.4,0.77
8.02,2.23,0.24,45.37,279.91,14.5,5,26.49,27.39,4.18,0.67,1.91,0.81
8.72,0.15,0.6,14.19,231.23,8.7,3.5,19.04,2.92,4.65,0.47,0.85,0.49
8.78,0.23,0.57,57.46,438.12,30.7,3,24.83,4.23,12.64,0.65,0.44,0.24
7.65,0.14,0.51,24.7,702.24,7.3,2.5,57.93,0.7,1.46,1.17,0.42,1.05
8.18,0.14,0.27,7.53,209.44,10.4,4,42.68,1.95,0.72,1.05,0.29,0.69
7.95,0.11,0.21,4.73,258.72,11.7,4.6,82.93,2.51,0.51,0.42,0.13,0.75
4.9,0.06,0.47,10.34,73.02,1.7,1.3,2.48,26.31,16.94,1.42,0.7,0.81
7.68,0.32,0.6,31.71,582,,15,8.6,6.27,5.39,1.27,0.73,0.26
